# The published reference corpus: a THIRD sample, of Java repositories that state a licence, are still being
# worked on, and publish an artefact. Drawn to compare against reference-corpus.tsv and
# reference-corpus-starred.tsv, never to replace either.
#
# WHY A THIRD SAMPLE. The first two are drawn and neither denominator resembles what this reading is measured
# on. Uniform over GitHub's Java gives coursework: ten of ten with zero stars and no licence. A fifty-star
# floor gives Android: five of ten, plus two pieces of teaching material. The nine evaluation-set members are
# none of those things — they are licensed libraries and servers that publish artefacts and are still
# maintained. A denominator is meant to say what the code being read is written in, so the third frame states
# those three properties directly instead of hoping a popularity proxy reaches them.
#
# THE FRAME AND THE PREDICATE, both fixed before a single rank was drawn.
#
#   FRAME, queried of GitHub:
#     language:Java fork:false mirror:false size:>=1000 pushed:>=2025-01-01 created:<2026-08-21
#     license:<each of the thirteen GitHub states>
#
#   `pushed` HAS NO UPPER BOUND, AND BOUNDING IT WAS TRIED AND REVERTED. The frame is not a fixed
#   population: a repository whose last push was in 2024 joins the moment somebody pushes to it, so the
#   count grows. It read 112,183 on 2026-08-20 and 112,251 three days later. Bounding `pushed` above at the
#   same ceiling `created` has was tried, on the reasoning that a fixed population is what makes a draw
#   reproducible. IT IS WORSE, AND THE MEASUREMENT SAYS SO.
#
#     - THE BOUNDED FRAME SHRINKS, AND IT EXPELS THE REPOSITORIES IT ALREADY DREW. `pushed` is a mutable
#       property. Under the upper bound a repository LEAVES the frame the moment anybody pushes to it, so
#       membership falls every day and a row already drawn can stop being a member. Under no upper bound
#       membership only ever grows: a repository pushed since 2025-01-01 stays in however often it is
#       pushed again, so a drawn row is a member forever. Monotone membership is the property that matters.
#     - IT COST 4,959 REPOSITORIES, AND THEY WERE THE MAINTAINED ONES. The bounded frame counted 107,224,
#       against 112,183 for the SAME window three days earlier. Those 4,959 were pushed in between, which
#       is what expelled them — so the bound removes exactly the actively maintained projects, which are
#       the ones that publish an artefact.
#     - THE TAKE RATE COLLAPSED, MEASURABLY. Sixteen ranks under the bounded frame took 3 and rejected 13,
#       against 30 taken of 53 recorded. Under the recorded rate a run of 16 takes 3 or fewer with
#       probability 0.0023, so this is the bound biasing the frame and not sampling noise.
#
#   NO `pushed` FRAME IS FIXED, BECAUSE `pushed` IS MUTABLE. Reproducibility does not come from re-running
#   the query, and cannot: it comes from THIS FILE, which pins every drawn repository at a commit. A draw is
#   a snapshot, its count is recorded beside it, and `-Dcs.draw.total` states which snapshot a run means to
#   reproduce rather than pretending the population stood still.
#
#   Each qualifier, and why it is there:
#     language:Java     the population, as GitHub states a primary language
#     fork:false        a fork is another repository's words copied; counting them twice is a sampling defect
#     mirror:false      the same reason
#     size:>=1000       one megabyte. A STATED bound, not a derived one, carried over from the first frame
#     pushed:>=2025-01-01   "modern" read as STILL BEING WORKED ON rather than recently started, with no
#                       upper bound so that membership only ever grows and a drawn row stays a member. A library
#                       begun in 2014 and pushed to this year writes today's Java; one begun in 2024 and
#                       abandoned does not. Creation date measures the wrong thing, so `pushed` is used.
#     license:...       the thirteen licences GITHUB ITSELF publishes at /licenses — agpl-3.0, apache-2.0,
#                       bsd-2-clause, bsd-3-clause, bsl-1.0, cc0-1.0, epl-2.0, gpl-2.0, gpl-3.0, lgpl-2.1,
#                       mit, mpl-2.0, unlicense. THE SET IS CITED, NOT CHOSEN: picking which licences count
#                       would be this project curating, so GitHub's own enumeration is used whole. They OR
#                       together in a query, which is what makes "states a licence GitHub recognises"
#                       expressible at all. A licence says nothing about what words a repository contains,
#                       so requiring one does not breach the rule this corpus exists to enforce. IT IS NOT
#                       NEUTRAL — a licensed repository is a more deliberate one — and that is stated rather
#                       than claimed away.
#     created:<...      a ceiling, so the frame is the same set on a later day
#
#   NOT in the frame: stars, watchers, archived state, and anything about subject matter.
#
#   PREDICATE, applied to every drawn rank without exception. GitHub's repository search cannot ask whether a
#   repository publishes anything, so it is asked of the tree directly, AT THE PINNED COMMIT:
#
#     accept if pom.xml at the repository root states a <groupId>
#          or if build.gradle or build.gradle.kts at the root applies maven-publish
#     reject otherwise, and take the next rank from the same seeded stream
#
#   A Maven groupId is the coordinate an artefact publishes under, and maven-publish is the plugin that
#   publishes one, so between them they are what a repository does to make its code available as a library.
#   The predicate is read over raw.githubusercontent.com rather than the API, which is why it costs no rate
#   limit. EVERY REJECTION IS RECORDED with the rank and the reason, in docs/reference-corpus/draw-published.json.
#
#   Rejection sampling on a predicate stated in advance is uniform over the sub-population that satisfies it.
#   That is the whole reason the predicate had to be written down before the draw ran rather than after: a
#   predicate adjusted once its rejections are visible is a choice about which repositories end up here.
#
# HOW MANY, and why it is a hundred rather than ten or thirty. The first two samples hold ten each, which is
#   what the plan asked for and is too few. A reference is a pooled density per word, so with ten roughly
#   equal repositories any one of them carries about a tenth of the total mass: a single blockchain
#   repository in the pool would have the reference claim `transaction` is written at a tenth of a blockchain
#   repository's rate, which is enough to demote it for besu. That is the contamination risk the plan names,
#   and ten bounds it badly. At thirty it is a thirtieth; at a hundred it is a hundredth.
#
#   THIRTY WAS THE NUMBER THAT LET THE BOUND BE MEASURED, AND THE MEASUREMENT SAID TO EXTEND. This header
#   stated before any rank was drawn that if the curve were still climbing at thirty the draw extends. It is
#   still climbing, and it will not stop: the disagreement between two references built from disjoint halves
#   of the draw falls as the sample size to the power -0.301, where averaging independent draws would give
#   -0.5. That exponent is between-repository heterogeneity rather than sampling noise, so no sample size
#   ends it. About one verdict in ten moves at thirty, all of it among words whose claim sits near zero.
#
#   A HUNDRED IS A BUDGET, NOT A DERIVED BOUND, AND SAYING SO IS THE POINT. Every threshold inside a reading
#   here is derived from a null; how much source a project is willing to fetch is not that kind of number.
#   What the measurements settle is the shape of the trade, and three readings of it point at a hundred.
#   One repository's weight falls to a hundredth, an order of magnitude below the tenth that made ten
#   unusable. The words that move are the ones estimated from almost no repositories — `buf` is carried by
#   an effective 4.94 of the thirty — and a hundred takes that to about sixteen, which is where a share
#   stops being one repository's accident. And past it the curve is flat: three hundred repositories buy
#   about two further points of churn for three times the source.
#
#   WHAT ACTUALLY SETTLES THE CHURN IS NOT SAMPLE SIZE. A word whose claim sits inside the reference's own
#   sampling error has not been shown to stand above chance, and that error is derivable from the split-half
#   measurement above rather than chosen. Reporting it is what makes the near-zero verdicts stop flipping,
#   and it costs no bandwidth at all.
#
#   EXTENDING A SEEDED DRAW IS NOT RE-ROLLING IT, ONCE THE FRAME IS FIXED. Further rows are the next values
#   from the same stream, so every row already recorded stays exactly as it was — which holds only because
#   the frame no longer moves under it, and is why the upper bound on `pushed` above was worth a re-draw. That is what makes growing a sample
#   different in kind from drawing it again until it looks right. The other two manifests can be grown the
#   same way without invalidating a row.
#
# Columns, the seeded draw, the exact-count method and the doctrine argument are as reference-corpus.tsv
# states them; only the frame and the predicate differ. The draw is CorpusDrawCommand, which writes both the
# record of every rank and rejection and the rows below.
#
# Source: THIS PROJECT ran the draw; GitHub states the frame, the licence enumeration and the ranks.
big-data-plugin	https://github.com/tahopen/big-data-plugin.git	42f445f1825a020f9445b5b41ddb87f12f7416b3	Apache-2.0	36469	2024-10-22T20:11:42Z	1381
sentinel	https://github.com/ZhouJianBoPro/sentinel.git	0eec6130a863a6c947b5ffcebcc86c469ecdbc4f	Apache-2.0	58964	2025-07-11T04:05:33Z	7711
spring-boot-adminlte-master	https://github.com/jmolinsc/spring-boot-adminlte-master.git	421048e137bf717df8434ba17bfcdaccf874fd40	MIT	34642	2024-08-09T20:42:32Z	18362
worldsmemory	https://github.com/Satacki/WorldsMemory.git	a5fd0da19f0819f3829df247fbf64db820d98e28	MIT	94118	2026-04-27T23:30:37Z	184144
demand-cooking-backend	https://github.com/CR-7-CHEN/demand-cooking-backend.git	d1d29eb202db7261481f1ffdc08d070cb160a413	MIT	94771	2026-05-02T16:08:33Z	10009
matematix	https://github.com/Mutata56/MatematiX.git	65e0d7db5b21d50314b9bf42af754972553f327f	MIT	23203	2022-09-21T12:44:56Z	7166
common-xml	https://github.com/bremersee/common-xml.git	21f787fd683365d5dd0e359a7a264abda8b4a051	Apache-2.0	13836	2020-01-19T18:46:21Z	5129
local-life-service	https://github.com/Joshua36911/local-life-service.git	ecc86c857970c478f85cef50527e5e5a1fd501cc	Apache-2.0	100853	2026-06-08T08:30:16Z	3355
hapi-fhir-http-auth	https://github.com/zarif59/hapi-fhir-http-auth.git	3c65a82f6d4d0ff6899a67180939f1393b5aea46	Apache-2.0	46028	2025-03-11T01:46:43Z	15410
luna-springboot-demo	https://github.com/lunasaw/luna-springboot-demo.git	a738b8d0b1fee9751350bdb2064bf3df8a476684	MIT	14962	2020-05-30T03:48:32Z	12593
fable-worldgen	https://github.com/ViciousBadger/fable-worldgen.git	9ebdc22522556fd439db3451ad189391f2c57f51	CC0-1.0	62046	2025-08-11T12:29:38Z	3835
benchmarkjava	https://github.com/coyote-engineering/BenchmarkJava.git	1def24fc25772d034b72c704a7ff324a0eaddddb	GPL-2.0	79918	2026-01-29T22:18:30Z	76017
bahar	https://github.com/newdawn19/bahar.git	38b16dcfa34c3c7bb0e81cade3f0b512c6c35d20	AGPL-3.0	109555	2026-07-28T17:39:40Z	4366
allthecompressed	https://github.com/Pdiddy973/AllTheCompressed.git	c21f27d7f1efa599888df87f095890bcad2e683c	MIT	18982	2021-08-06T19:49:39Z	4159
framework	https://github.com/looken1024/framework.git	4063f35b9ee28f81e76ab71d664b8abfc31e41e4	Apache-2.0	60635	2025-07-28T11:07:58Z	1037
spring-data-jdbc-mybatis	https://github.com/VonChange/spring-data-jdbc-mybatis.git	8db33f9cf1a2343ecb058045e22fedd4d520e0bd	Apache-2.0	13424	2020-03-01T15:14:47Z	1072
backend-tienda-online	https://github.com/isairey/Backend-Tienda-Online.git	742dc1154946392ad612326099e9ee624ed80420	MIT	92369	2026-04-20T01:53:37Z	1580
demo-lab01-devops	https://github.com/hoanggiabao1804/demo-lab01-devops.git	c6456f59a518a33f26239d9992507efec130e736	MIT	92135	2026-04-18T15:08:59Z	31605
carml	https://github.com/carml/carml.git	f58ee44b1ccc162b6b65f180ba3eb00ffcdb5e86	MIT	7188	2017-09-19T15:38:54Z	4456
matrix-code	https://github.com/aevis-codex/matrix-code.git	3343e178ceb101bb3116395e7242747fbce199c3	MIT	104048	2026-06-25T15:56:51Z	1682
sec-prng	https://github.com/simon-greatrix/sec-prng.git	66251ecbd78d1adbd47678785d9dba75a1984600	MIT	3439	2015-03-30T20:44:39Z	1252
leapfrog-1.21	https://github.com/biggiemedium/Leapfrog-1.21.git	039b63ca8bf8309969f05e0d6b2823fcf20ab5af	CC0-1.0	42389	2025-02-06T00:11:18Z	75605
beanplanet-framework	https://github.com/lamerexter/beanplanet-framework.git	2dd37cfe5880439b2bd9f52487266f2964bbaf67	Apache-2.0	7960	2017-10-30T08:31:20Z	6768
anyline	https://github.com/anylineorg/anyline.git	a2ae4627fd235ffb729493c53d614a1891a2e99d	Apache-2.0	10471	2019-01-14T01:05:56Z	54387
microsphere-spring-boot	https://github.com/microsphere-projects/microsphere-spring-boot.git	6f2b98f03ebf89ff4e82cd5cef327033e7101cdd	Apache-2.0	24555	2023-02-06T04:59:07Z	1910
gametalk	https://github.com/Lexi115/GameTalk.git	11507cbcccd5d4a52165ef1d2bc4a81209fac6ba	MIT	39738	2025-01-08T15:20:10Z	31902
beyondlimits-1.20-neo-forge	https://github.com/Axell1280/BeyondLimits-1.20-neo-forge.git	86fb8cec06836b0055d135fda9025ceb1ef11382	MIT	73143	2025-11-27T16:37:21Z	5050
jamlin	https://github.com/Wradgio/Jamlin.git	79ca9270b2b7134f3b7cd56ff526444ae402eac3	Apache-2.0	7958	2017-11-02T11:18:48Z	2043
junit-selenium	https://github.com/CDTester/JUnit-Selenium.git	672100c5f2c0c2b34587f6c75bdb7c3f75667e94	MIT	67915	2025-10-10T10:15:06Z	10304
sop	https://github.com/shaphar98/SOP.git	af73da75f3365753cd01f9805d0588d1125bf6a5	MIT	85650	2026-03-07T10:45:01Z	18025
stitch-2	https://github.com/Actionizer/stitch-2.git	6f867f039faa350b844c88f99a91a662cae7468e	Apache-2.0	54187	2025-05-24T05:17:40Z	4788
tito-el-monito-ahorcado	https://github.com/adancortes-ing/tito-el-monito-ahorcado.git	cd251ccb1e92407d0776d87978bdfb78860a14e1	GPL-3.0	111143	2026-08-12T03:13:38Z	2041
adeptj-runtime	https://github.com/AdeptJ/adeptj-runtime.git	f2ad7e104a488288183feee3b1d4db80905eaa2d	Apache-2.0	5532	2016-09-23T12:20:08Z	4621
compilador-mini-java	https://github.com/DiogoAug16/compilador-mini-java.git	26bc893a9ddba2cb461f7f3f29b6f80ce7b5b8eb	MIT	51087	2025-04-28T02:38:11Z	7600
fever-events	https://github.com/adrianrevilla009/fever-events.git	c571a884795d2fe35f596b79993ed48f7e67da9a	Apache-2.0	85029	2026-03-06T14:40:35Z	1128
wivipay-backend	https://github.com/wilkernel/wivipay-backend.git	d7f4f37424e485e50f895106afd5159d8acfe422	MIT	51785	2025-05-03T05:25:03Z	1516
jwav-player	https://github.com/jude-james/JWav-Player.git	6ff6c1b381d87427e2bdfa97af14f8f18e73ca94	MIT	35162	2024-08-28T16:45:54Z	4106
java-apis	https://github.com/Smartlogic-Semaphore-Limited/Java-APIs.git	6054dcc7e92677c0d5c8d0c7f6a4f0a7e2b5ed15	Apache-2.0	6841	2017-05-02T12:17:57Z	4380
ph-db	https://github.com/phax/ph-db.git	e210a79b644dab8041cec29587a6310082d676cc	Apache-2.0	2735	2014-08-26T06:29:50Z	1225
chevy	https://github.com/bytestrick/chevy.git	20f4299a10c15833d3c0a9c054a589581a9c165b	GPL-3.0	33044	2024-05-22T15:09:20Z	103430
company	https://github.com/Cnewbeee/company.git	db11225e6cbde014edb8811733eb19b6442758f0	MIT	68099	2025-10-11T03:46:57Z	6095
